Enzyme,Adverse-event phenotype,Obs,log2 FE,FDR q
ABCB1 (P-gp),Fibroadenoma of the breast,93,0.80,4.6e-07
ABCB1 (P-gp),Oligomenorrhea,102,0.64,3.1e-05
ABCB1 (P-gp),Renal neoplasm,113,0.48,1.4e-03
CYP1A2,Impacted cerumen,76,0.59,5.0e-03
CYP1A2,Hyperacusis,72,0.59,6.7e-03
CYP1A2,Paronychia,75,0.58,6.4e-03
CYP2C19,Enuresis,60,1.24,2.1e-07
CYP2C19,Aplastic anemia,81,0.94,3.1e-06
CYP2C19,Paraplegia,62,0.85,3.2e-04
CYP2C9,Borderline personality disorder,51,0.70,7.9e-03
CYP2C9,Neonatal hypoglycemia,80,0.67,9.7e-04
CYP2C9,Cervicitis,66,0.57,1.3e-02
CYP2D6,Agoraphobia,120,1.08,6.9e-12
CYP2D6,Ketoacidosis,122,0.95,1.5e-09
CYP2D6,Tardive dyskinesia,183,0.92,3.1e-13
CYP3A4,Cervical polyp,158,0.46,7.6e-06
CYP3A4,Retinal atrophy,107,0.44,8.5e-04
CYP3A4,Glioma,71,0.42,1.3e-02
SLCO1B1 (OATP1B1),Myocarditis,65,1.40,2.0e-09
SLCO1B1 (OATP1B1),Increased total eosinophil count,116,1.16,5.2e-12
SLCO1B1 (OATP1B1),Nephrotic syndrome,50,1.12,3.2e-05
