CID_pubchem,DrugBank_id
1046,DB00339
104741,DB00947
104865,DB00559
110635,DB00820
115237,DB01267
119182,DB00631
119607,DB00580
123606,DB00918
123631,DB00317
124087,DB00967
125017,DB06700
13342,DB00570
1349907,DB00763
145068,DB00435
148192,DB01072
150311,DB00973
176870,DB00530
1775,DB00252
1978,DB01193
1983,DB00316
1986,DB00819
2083,DB01001
2092,DB00346
2099,DB00969
2118,DB00404
2130,DB00915
213039,DB01264
2153,DB00277
2160,DB00321
2162,DB00381
216239,DB00398
216326,DB00480
2170,DB00543
2187,DB01217
2244,DB00945
2265,DB00993
2267,DB00972
2284,DB00181
2369,DB00195
2375,DB01128
2405,DB00612
2435,DB00484
2471,DB00887
2474,DB00297
2477,DB00490
2478,DB01008
2519,DB00201
2520,DB00661
2541,DB13919
2554,DB00564
2576,DB00395
2578,DB00262
2585,DB01136
2662,DB00482
2708,DB00291
2712,DB00475
2719,DB00608
2720,DB00880
2725,DB01114
2726,DB00477
2727,DB00672
2733,DB00356
2756,DB00501
2764,DB00537
27661,DB01020
2771,DB00215
2800,DB00882
2801,DB01242
2802,DB01068
2803,DB00575
2812,DB00257
2895,DB00924
2907,DB00531
2955,DB00250
2973,DB00746
2995,DB01151
3007,DB00182
3016,DB00829
3042,DB00804
3059,DB00861
3062316,DB01254
3108,DB00975
3114,DB00280
3117,DB00822
3121,DB00313
3152,DB00843
3157,DB00590
3198,DB01127
3261,DB01215
3278,DB00903
3291,DB00593
3308,DB00749
3324,DB00426
3325,DB00927
3333,DB01023
3339,DB01039
3345,DB00813
3348,DB00950
3365,DB00196
3372,DB00623
3385,DB00544
3386,DB00472
3393,DB00690
3394,DB00712
3397,DB00499
3410,DB00983
34312,DB00776
3440,DB00695
3463,DB01241
3476,DB00222
3478,DB01067
3488,DB01016
3559,DB00502
3637,DB01275
3639,DB00999
3652,DB01611
3657,DB01005
3658,DB00557
3672,DB01050
3675,DB00780
3676,DB00281
3690,DB01181
3696,DB00458
3702,DB00808
3715,DB00328
3749,DB01029
3763,DB00753
3767,DB00951
3784,DB00270
3823,DB01026
3825,DB01009
3826,DB00465
3827,DB00920
3869,DB00598
3878,DB00555
3883,DB00448
3899,DB01097
3902,DB01006
3957,DB00455
3961,DB00678
4011,DB00934
4034,DB00737
4044,DB00784
4046,DB00358
4054,DB01043
4058,DB00454
4064,DB00371
4075,DB00244
4091,DB00331
4095,DB00333
4158,DB00422
4168,DB01233
41693,DB00708
4171,DB00264
4173,DB00916
4178,DB00379
41781,DB00214
4189,DB01110
4192,DB00683
4195,DB00211
4201,DB00350
4205,DB00370
4211,DB00648
4212,DB01204
4236,DB00745
4409,DB00461
444,DB01156
4440,DB00952
4449,DB01149
4463,DB00238
4485,DB01115
4497,DB00393
4499,DB00401
4506,DB01595
4539,DB01059
4543,DB00540
4583,DB01165
4594,DB00338
4595,DB00904
4614,DB00991
4616,DB00842
4634,DB01062
4659569,DB00323
4679,DB00213
4740,DB00806
4748,DB00850
4771,DB00191
4828,DB00960
4829,DB01132
4893,DB00457
4909,DB00794
4911,DB01032
4913,DB01035
4917,DB00433
4927,DB01069
4932,DB01182
4943,DB00818
4946,DB00571
4991,DB00545
4993,DB00205
4999,DB01589
5002,DB01224
5035,DB00481
5039,DB00863
5070,DB00740
5073,DB00734
5078,DB00953
5090,DB00533
5095,DB00268
51263,DB00802
5152,DB00938
5206,DB01236
5210,DB01105
5215,DB00359
5291,DB00619
5358,DB00669
5391,DB00231
5394,DB00853
5401,DB01162
5426,DB01041
54454,DB00641
5453,DB04572
5472,DB00208
5487,DB00697
5505,DB01124
5530,DB00752
5533,DB00656
5556,DB00897
5578,DB00440
5584,DB00726
5656,DB00285
56959,DB00243
5717,DB00549
5719,DB00962
5732,DB00425
5734,DB00909
5735,DB01198
5746,DB00305
57469,DB00724
59708,DB11868
60198,DB00990
60795,DB01238
60871,DB00718
60953,DB01101
65999,DB00966
667490,DB01033
68740,DB00399
68844,DB01194
71329,DB00204
71616,DB00582
74989,DB01117
77992,DB00998
77993,DB00216
82146,DB00307
9433,DB01223
