CID_pubchem,drug_name,DDInterIDs,joined_to_ddinter,display_name
1046,Pyrazinamide,DDInter1547,yes,Pyrazinamide
104741,Fulvestrant,DDInter789,yes,Fulvestrant
104865,Bosentan,DDInter223,yes,Bosentan
10631,Medroxyprogesterone,DDInter1137,yes,Medroxyprogesterone
1065,"Cinchonan-9-ol, 6'-methoxy-, (8alpha,9R)-",,no,
1071,9-cis Retinol,,no,
110634,,,no,
110635,Tadalafil,DDInter1736,yes,Tadalafil
115237,Paliperidone,DDInter1381,yes,
119182,Clofarabine,DDInter405,yes,Clofarabine
119607,Valdecoxib,DDInter1910,yes,Valdecoxib
1206,DL-methamphetamine,,no,
122316,Racemic rasagiline,DDInter1572,yes,
123606,Almotriptan,DDInter49,yes,Almotriptan
123620,B.Mometason,,no,
123631,Gefitinib,DDInter810,yes,Gefitinib
124087,Desloratadine,DDInter506,yes,Desloratadine
125017,Desvenlafaxine,DDInter511,yes,
13342,Vinblastine,DDInter1936,yes,Vinblastine
1349907,Methimazole,DDInter1170,yes,Methimazole
145068,Nitric Oxide,,no,
147912,"4-[4-[4-[4-[[(5R)-5-(2,4-difluorophenyl)-5-(1,2,4-triazol-1-ylmethyl)oxolan-3-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-2-[(2S,3S)-2-hydroxypentan-3-yl]-1,2,4-triazol-3-one",,no,
148192,Atazanavir,DDInter129,yes,Atazanavir
148211,"Palonosetron, (3aR)-",DDInter1382,yes,Palonosetron
14888,Arsenic Trioxide,DDInter120,yes,Arsenic Trioxide
150310,"methyl (1R,2S,9R,11S,14R,15S)-2,15-dimethyl-5,5'-dioxo-spiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-tetrahydrofuran]-9-carboxylate",,no,
150311,Ezetimibe,DDInter707,yes,Ezetimibe
151165,,,no,
152945,CID 152945,DDInter611,yes,CID 152945
1546,2-Chloro-9-(2-deoxypentofuranosyl)-9H-purin-6-amine,,no,
158,8-iso PROSTAGLANDIN E2,,no,
159,"5-(5-Hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta(b)furan-2-ylidene)pentanoic acid",,no,
1690,Doxorubicin (Adriamycin) HCl,DDInter596;DDInter597,yes,Doxorubicin
176870,Erlotinib,DDInter667,yes,Erlotinib
1775,Phenytoin,DDInter1460,yes,Phenytoin
19090,Megestrol,DDInter1141,yes,Megestrol
1971,4-(2-Amino-6-(cyclopropylamino)-9H-purin-9-yl)-2-cyclopentene-1-methanol,,no,
1978,Acebutolol,DDInter12,yes,Acebutolol
1983,Acetaminophen,DDInter14,yes,Acetaminophen
1986,Acetazolamide,DDInter15,yes,Acetazolamide
2019,Dactinomycin (USP),DDInter466,yes,Dactinomycin (USP)
2022,,,no,
2083,Salbutamol,DDInter1632,yes,Salbutamol
2092,Alfuzosin,DDInter44,yes,Alfuzosin
2099,Alosetron,DDInter52,yes,
2118,Alprazolam,DDInter54,yes,Alprazolam
2130,Amantadine,DDInter60,yes,
213039,Darunavir,DDInter482,yes,
214,8-iso Prostaglandin E1,DDInter55,yes,8-iso Prostaglandin E1
2153,Theophylline,DDInter1791,yes,Theophylline
2156,"[2-[4-[(2-Butylbenzofuran-3-yl)carbonyl]-2,6-diiodophenoxy]ethyl]diethylaminium",,no,
2160,Amitriptyline,DDInter78,yes,Amitriptyline
2162,Amlodipine,DDInter79,yes,Amlodipine
216239,Sorafenib,DDInter1702,yes,Sorafenib
216326,Lenalidomide,DDInter1035,yes,Lenalidomide
2170,Amoxapine,DDInter82,yes,
2171,"6-(2-Amino(4-hydroxyphenyl)acetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid",DDInter83,yes,Amoxicillin
2173,"6-{[Amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",,no,
2177,{3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-1-benzyl-2-hydroxy-propyl}-carbamic acid tetrahydro-furan-3-YL ester,,no,
2187,Anastrozole,DDInter95,yes,Anastrozole
2232,"1-[5-Carbamimidamido-2-(3-methyl-1,2,3,4-tetrahydroquinoline-8-sulfonamido)pentanoyl]-4-methylpiperidine-2-carboxylic acid",DDInter117,yes,
2244,Aspirin,DDInter20,yes,Aspirin
2250,Atorvastatin EP Impurity B,DDInter133,yes,Atorvastatin EP Impurity B
2265,Azathioprine,DDInter150,yes,Azathioprine
2267,Azelastine,DDInter153;DDInter154,yes,Azelastine
2269,"11-[4-(Dimethylamino)-3-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydropyran-2-yl)oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one",,no,
2284,Baclofen,DDInter162,yes,Baclofen
