drug_A,drug_B,enzymes,mechanism,severity,in_trial,trial_AEs,in_trueDDI
Methotrexate,Trimethoprim,ABCB1 (P-gp),"transporter induction, transporter inhibition",Major,Yes,185,Yes
Cyclophosphamide,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Major,Yes,130,Yes
Carboplatin,Sorafenib,ABCC2 (MRP2),transporter inhibition,Major,Yes,63,Yes
Celecoxib,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Major,Yes,27,Yes
Thalidomide,Vincristine,CYP3A5,CYP induction,Major,Yes,16,No
Tamoxifen,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Major,Yes,10,Yes
Cyclophosphamide,Thiotepa,"CYP2B6, CYP3A4","CYP induction, CYP inhibition",Major,Yes,1,Yes
Bupropion,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Leflunomide,Rofecoxib,CYP1A2,CYP inhibition,Major,No,0,No
Erythromycin,Leflunomide,CYP1A2,CYP inhibition,Major,No,0,No
Fluconazole,Arsenic Trioxide,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Major,No,0,No
Aspirin,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Bupropion,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Major,No,0,Yes
Celecoxib,Ketorolac,PTGS2,CYP inhibition,Major,No,0,Yes
Citalopram,Tamoxifen,CYP3A4,"CYP induction, CYP inhibition",Major,No,0,No
Ketoprofen,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Celecoxib,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Etodolac,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Fentanyl,Dasatinib,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter inhibition",Major,No,0,No
Citalopram,Sorafenib,CYP3A4,CYP inhibition,Major,No,0,No
Leflunomide,Pioglitazone,CYP2C9,CYP inhibition,Major,No,0,No
Arthrotec,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Carbamazepine,Bortezomib,CYP1A2,"CYP induction, CYP inhibition",Major,No,0,Yes
Vincristine,Voriconazole,CYP3A4,CYP inhibition,Major,No,0,Yes
Ibuprofen,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Fenofibrate,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Itrizole,Vincristine,"ABCB1 (P-gp), CYP3A4","CYP inhibition, transporter induction, transporter inhibition",Major,No,0,Yes
Fluoxetine,Tamoxifen,"ABCB1 (P-gp), CYP3A4","CYP induction, CYP inhibition, transporter induction, transporter inhibition",Major,No,0,Yes
Ondansetron,Arsenic Trioxide,CYP3A4,CYP inhibition,Major,No,0,Yes
Paroxetine,Tamoxifen,"ABCB1 (P-gp), CYP2C9","CYP inhibition, transporter induction, transporter inhibition",Major,No,0,Yes
Leflunomide,Lovastatin,CYP2C9,"CYP induction, CYP inhibition",Major,No,0,No
Fluconazole,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Phenytoin,Leflunomide,CYP2C9,"CYP induction, CYP inhibition",Major,No,0,No
Indomethacin,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Acetaminophen,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Busulfan,Metronidazole,CYP3A4,CYP inhibition,Major,No,0,Yes
Bicalutamide,Citalopram,CYP2D6,CYP inhibition,Major,No,0,No
Lansoprazole,Erlotinib,"ABCG2 (BCRP), CYP1A2, CYP2C8","CYP induction, CYP inhibition, transporter inhibition",Major,No,0,Yes
Ifosfamide,Thalidomide,"CYP2C19, CYP3A5","CYP induction, CYP inhibition",Major,No,0,No
Medroxyprogesterone,Bosentan,"CYP2C9, CYP3A4","CYP induction, CYP inhibition",Major,No,0,Yes
Leflunomide,Oxaprozin,CYP2C9,CYP inhibition,Major,No,0,No
Arsenic Trioxide,Palonosetron,CYP3A4,CYP inhibition,Major,No,0,No
Leflunomide,Thalidomide,CYP2C9,CYP inhibition,Major,No,0,No
Atorvastatin EP Impurity B,Leflunomide,CYP2C9,"CYP induction, CYP inhibition",Major,No,0,No
Carbamazepine,Leflunomide,"CYP1A2, CYP2C9","CYP induction, CYP inhibition",Major,No,0,No
Ifosfamide,Thiotepa,"CYP2B6, CYP3A4","CYP induction, CYP inhibition",Major,No,0,No
Hydroxychloroquine,Tamoxifen,CYP2D6,CYP inhibition,Major,No,0,No
Azathioprine,6-Mercaptopurine,HPRT1,CYP inhibition,Major,No,0,Yes
Leflunomide,Bosentan,CYP2C9,"CYP induction, CYP inhibition",Major,No,0,No
Valproic Acid,Leflunomide,CYP2C9,CYP inhibition,Major,No,0,No
Anzemet,Mitoxantrone,CYP3A4,CYP inhibition,Major,No,0,No
