CID_A,drug_A,CID_B,drug_B,enzyme_gene,direction,severity,DB_A,DB_B,drugbank_hard_proven
2187,Anastrozole,60198,Exemestane,CYP19A1,inhibition,Unknown,DB01217,DB00990,Yes
1983,Acetaminophen,3902,Letrozole,CYP3A4,induction,Unknown,DB00316,DB01006,No
1983,Acetaminophen,3902,Letrozole,CYP2A6,inhibition,Unknown,DB00316,DB01006,No
2907,Cyclophosphamide,3016,Diazepam,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00829,No
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,induction,Unknown,DB00531,DB00829,No
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,inhibition,Unknown,DB00531,DB00829,No
3386,Fluoxetine,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00472,DB00619,No
3386,Fluoxetine,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00472,DB00619,No
2662,Celecoxib,3715,Indomethacin,ABCC4 (MRP4),transporter_inhibition,Moderate,DB00482,DB00328,No
2662,Celecoxib,3715,Indomethacin,PTGS2,inhibition,Moderate,DB00482,DB00328,No
4171,Metoprolol,5291,Imatinib,CYP2D6,inhibition,Moderate,DB00264,DB00619,No
4171,Metoprolol,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00264,DB00619,No
2907,Cyclophosphamide,2955,Dapsone,CYP3A4,inhibition,Unknown,DB00531,DB00250,No
2907,Cyclophosphamide,2955,Dapsone,CYP2C9,induction,Unknown,DB00531,DB00250,No
2162,Amlodipine,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00381,DB00531,No
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00381,DB00531,No
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00381,DB00531,No
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),transporter_induction,Unknown,DB00531,DB00440,Yes
2907,Cyclophosphamide,5578,Trimethoprim,CYP3A4,induction,Unknown,DB00531,DB00440,Yes
2907,Cyclophosphamide,5578,Trimethoprim,CYP2C9,inhibition,Unknown,DB00531,DB00440,Yes
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00440,Yes
2662,Celecoxib,3365,Fluconazole,CYP3A4,inhibition,Moderate,DB00482,DB00196,Yes
2907,Cyclophosphamide,4943,Propofol,CYP3A4,inhibition,Unknown,DB00531,DB00818,No
2907,Cyclophosphamide,4943,Propofol,CYP3A4,induction,Unknown,DB00531,DB00818,No
2662,Celecoxib,5732,Zolpidem,CYP2D6,inhibition,Unknown,DB00482,DB00425,No
3902,Letrozole,3957,Loratadine,CYP3A4,induction,Unknown,DB01006,DB00455,No
3902,Letrozole,3957,Loratadine,CYP3A4,inhibition,Unknown,DB01006,DB00455,No
2662,Celecoxib,3957,Loratadine,CYP3A4,induction,Moderate,DB00482,DB00455,No
2662,Celecoxib,3957,Loratadine,CYP3A4,inhibition,Moderate,DB00482,DB00455,No
5391,Temazepam,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00231,DB00398,No
2244,Aspirin,216239,Sorafenib,CYP2C19,induction,Unknown,DB00945,DB00398,No
2244,Aspirin,216239,Sorafenib,CYP2C9,inhibition,Unknown,DB00945,DB00398,No
2244,Aspirin,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00945,DB00398,No
2662,Celecoxib,5073,Risperidone,CYP3A4,inhibition,Moderate,DB00482,DB00734,No
2907,Cyclophosphamide,4594,Prilosec,CYP3A4,induction,Unknown,DB00531,DB00338,Yes
2907,Cyclophosphamide,4594,Prilosec,CYP2C19,inhibition,Unknown,DB00531,DB00338,Yes
1983,Acetaminophen,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00316,DB00531,No
1983,Acetaminophen,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00316,DB00531,No
1983,Acetaminophen,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00316,DB00531,No
2187,Anastrozole,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB01217,DB01101,Yes
3899,Leflunomide,5735,Zopiclone,CYP2C9,inhibition,Unknown,DB01097,DB01198,No
2662,Celecoxib,3883,Lansoprazole,CYP3A4,induction,Unknown,DB00482,DB00448,No
2662,Celecoxib,3883,Lansoprazole,CYP3A4,inhibition,Unknown,DB00482,DB00448,No
1983,Acetaminophen,13342,Vinblastine,CYP3A4,inhibition,Unknown,DB00316,DB00570,No
1983,Acetaminophen,13342,Vinblastine,CYP3A4,induction,Unknown,DB00316,DB00570,No
1983,Acetaminophen,13342,Vinblastine,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00316,DB00570,No
1983,Acetaminophen,13342,Vinblastine,ABCB1 (P-gp),transporter_induction,Unknown,DB00316,DB00570,No
2585,Carvedilol,2662,Celecoxib,CYP2D6,inhibition,Moderate,DB01136,DB00482,Yes
2907,Cyclophosphamide,3652,Hydroxychloroquine,CYP2D6,inhibition,Unknown,DB00531,DB01611,No
3385,5-Fluorouracil,4485,Nifedipine,CYP1A2,inhibition,Unknown,DB00544,DB01115,No
3385,5-Fluorouracil,4485,Nifedipine,ABCC3,transporter_induction,Unknown,DB00544,DB01115,No
3385,5-Fluorouracil,4485,Nifedipine,CYP2C9,induction,Unknown,DB00544,DB01115,No
444,Bupropion,3899,Leflunomide,CYP2C9,inhibition,Major,DB01156,DB01097,No
3657,Hydroxyurea,4171,Metoprolol,CYP2D6,inhibition,Unknown,DB01005,DB00264,No
5732,Zolpidem,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00425,DB01101,No
2662,Celecoxib,4499,Nisoldipine,CYP3A4,inhibition,Unknown,DB00482,DB00401,No
2895,Cyclobenzaprine,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00924,DB00531,No
2895,Cyclobenzaprine,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00924,DB00531,No
2187,Anastrozole,4679,Pantoprazole,CYP1A2,induction,Unknown,DB01217,DB00213,No
2187,Anastrozole,4679,Pantoprazole,CYP2C9,inhibition,Unknown,DB01217,DB00213,No
3385,5-Fluorouracil,54454,Simvastatin,CYP2C9,inhibition,Unknown,DB00544,DB00641,No
3385,5-Fluorouracil,54454,Simvastatin,CYP2C9,induction,Unknown,DB00544,DB00641,No
2662,Celecoxib,3672,"Ibuprofen, (+-)-",ABCC4 (MRP4),transporter_inhibition,Moderate,DB00482,DB01050,No
2662,Celecoxib,3672,"Ibuprofen, (+-)-",CYP2C9,inhibition,Moderate,DB00482,DB01050,No
3883,Lansoprazole,3899,Leflunomide,CYP1A2,induction,Unknown,DB00448,DB01097,No
3883,Lansoprazole,3899,Leflunomide,ABCG2 (BCRP),transporter_inhibition,Unknown,DB00448,DB01097,No
3883,Lansoprazole,3899,Leflunomide,CYP2C9,inhibition,Unknown,DB00448,DB01097,No
2662,Celecoxib,2771,Citalopram,CYP2D6,inhibition,Moderate,DB00482,DB00215,No
2162,Amlodipine,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00381,DB00619,No
2162,Amlodipine,5291,Imatinib,CYP3A4,inhibition,Moderate,DB00381,DB00619,No
5732,Zolpidem,216239,Sorafenib,CYP1A2,inhibition,Unknown,DB00425,DB00398,No
3899,Leflunomide,5090,Rofecoxib,CYP1A2,inhibition,Major,DB01097,DB00533,No
2764,Ciprofloxacin,5426,Thalidomide,CYP1A2,inhibition,Moderate,DB00537,DB01041,No
2764,Ciprofloxacin,5426,Thalidomide,CYP3A5,induction,Moderate,DB00537,DB01041,No
2907,Cyclophosphamide,3559,Haloperidol,CYP3A4,inhibition,Unknown,DB00531,DB00502,No
2907,Cyclophosphamide,3559,Haloperidol,CYP2D6,induction,Unknown,DB00531,DB00502,No
2907,Cyclophosphamide,3559,Haloperidol,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00502,No
4173,Metronidazole,5394,Temozolomide,CYP3A4,inhibition,Unknown,DB00916,DB00853,No
4173,Metronidazole,5394,Temozolomide,CYP3A4,induction,Unknown,DB00916,DB00853,No
3386,Fluoxetine,3902,Letrozole,CYP3A4,inhibition,Unknown,DB00472,DB01006,No
2662,Celecoxib,3345,Fentanyl,CYP3A4,inhibition,Unknown,DB00482,DB00813,No
2662,Celecoxib,3157,Doxazosin,CYP2D6,inhibition,Unknown,DB00482,DB00590,No
2662,Celecoxib,3784,Isradipine,CYP3A4,inhibition,Unknown,DB00482,DB00270,No
2907,Cyclophosphamide,4829,Pioglitazone,CYP2C9,inhibition,Unknown,DB00531,DB01132,No
2907,Cyclophosphamide,4829,Pioglitazone,CYP3A4,induction,Unknown,DB00531,DB01132,No
3385,5-Fluorouracil,4595,Ondansetron,CYP1A2,inhibition,Unknown,DB00544,DB00904,No
3385,5-Fluorouracil,4946,Propranolol,CYP1A2,inhibition,Unknown,DB00544,DB00571,No
3883,Lansoprazole,216239,Sorafenib,CYP1A2,induction,Unknown,DB00448,DB00398,No
3883,Lansoprazole,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00448,DB00398,No
3883,Lansoprazole,216239,Sorafenib,CYP1A2,inhibition,Unknown,DB00448,DB00398,No
2662,Celecoxib,3488,Glibenclamide,CYP3A4,inhibition,Moderate,DB00482,DB01016,No
3902,Letrozole,1349907,Methimazole,CYP3A4,inhibition,Unknown,DB01006,DB00763,No
2662,Celecoxib,4634,Oxybutynin,CYP3A4,inhibition,Unknown,DB00482,DB01062,No
2662,Celecoxib,5095,Ropinirole,CYP2D6,inhibition,Unknown,DB00482,DB00268,No
4236,Modafinil,60953,Capecitabine,CYP2C9,induction,Unknown,DB00745,DB01101,No
4236,Modafinil,60953,Capecitabine,CYP2C9,inhibition,Unknown,DB00745,DB01101,No
2662,Celecoxib,4946,Propranolol,CYP2D6,inhibition,Moderate,DB00482,DB00571,Yes
2662,Celecoxib,3333,Felodipine,CYP3A4,inhibition,Unknown,DB00482,DB01023,No
2662,Celecoxib,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB00482,DB00544,No
2662,Celecoxib,3385,5-Fluorouracil,ABCC4 (MRP4),transporter_inhibition,Unknown,DB00482,DB00544,No
3385,5-Fluorouracil,3961,Losartan,CYP1A2,inhibition,Unknown,DB00544,DB00678,No
2477,Buspirone,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB00490,DB00482,No
4212,Mitoxantrone,4595,Ondansetron,CYP3A4,inhibition,Unknown,DB01204,DB00904,No
3899,Leflunomide,5578,Trimethoprim,CYP2C9,inhibition,Unknown,DB01097,DB00440,No
2585,Carvedilol,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01136,DB00531,No
2585,Carvedilol,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB01136,DB00531,No
2585,Carvedilol,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB01136,DB00531,No
4205,Mirtazapine,60198,Exemestane,CYP3A4,inhibition,Unknown,DB00370,DB00990,No
2907,Cyclophosphamide,4168,Metoclopramide,CYP2D6,inhibition,Unknown,DB00531,DB01233,No
2662,Celecoxib,150311,Ezetimibe,CYP3A4,inhibition,Unknown,DB00482,DB00973,No
2153,Theophylline,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB00277,DB00482,No
4594,Prilosec,5426,Thalidomide,CYP2C19,inhibition,Unknown,DB00338,DB01041,No
3657,Hydroxyurea,4917,Prochlorperazine,CYP2D6,inhibition,Unknown,DB01005,DB00433,No
2585,Carvedilol,5291,Imatinib,ABCB1 (P-gp),transporter_inhibition,Moderate,DB01136,DB00619,No
2585,Carvedilol,5291,Imatinib,CYP3A4,inhibition,Moderate,DB01136,DB00619,No
1983,Acetaminophen,216326,Lenalidomide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00316,DB00480,No
1983,Acetaminophen,216326,Lenalidomide,PTGS2,inhibition,Unknown,DB00316,DB00480,No
4212,Mitoxantrone,4917,Prochlorperazine,CYP3A4,inhibition,Unknown,DB01204,DB00433,No
4236,Modafinil,176870,Erlotinib,CYP1A2,induction,Minor,DB00745,DB00530,No
4236,Modafinil,176870,Erlotinib,CYP1A2,inhibition,Minor,DB00745,DB00530,No
2771,Citalopram,5291,Imatinib,CYP3A4,inhibition,Minor,DB00215,DB00619,No
3690,Ifosfamide,5291,Imatinib,CYP3A4,inhibition,Moderate,DB01181,DB00619,No
3690,Ifosfamide,5291,Imatinib,CYP3A4,induction,Moderate,DB01181,DB00619,No
3676,Lidocaine,3899,Leflunomide,CYP2C9,inhibition,Unknown,DB00281,DB01097,No
5394,Temozolomide,54454,Simvastatin,CYP3A4,induction,Unknown,DB00853,DB00641,No
5394,Temozolomide,54454,Simvastatin,CYP3A4,inhibition,Unknown,DB00853,DB00641,No
3657,Hydroxyurea,54454,Simvastatin,CYP2D6,inhibition,Unknown,DB01005,DB00641,No
3957,Loratadine,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB00455,DB00398,No
3957,Loratadine,216239,Sorafenib,CYP3A4,induction,Unknown,DB00455,DB00398,No
3957,Loratadine,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00455,DB00398,No
2187,Anastrozole,3957,Loratadine,CYP3A4,induction,Unknown,DB01217,DB00455,No
2187,Anastrozole,3957,Loratadine,CYP3A4,inhibition,Unknown,DB01217,DB00455,No
3899,Leflunomide,4173,Metronidazole,CYP2C9,inhibition,Moderate,DB01097,DB00916,No
2187,Anastrozole,150311,Ezetimibe,CYP3A4,inhibition,Unknown,DB01217,DB00973,No
2907,Cyclophosphamide,13342,Vinblastine,CYP3A4,inhibition,Moderate,DB00531,DB00570,Yes
2907,Cyclophosphamide,13342,Vinblastine,CYP3A4,induction,Moderate,DB00531,DB00570,Yes
2907,Cyclophosphamide,13342,Vinblastine,ABCB1 (P-gp),transporter_inhibition,Moderate,DB00531,DB00570,Yes
2907,Cyclophosphamide,13342,Vinblastine,ABCB1 (P-gp),transporter_induction,Moderate,DB00531,DB00570,Yes
3333,Felodipine,216239,Sorafenib,CYP3A4,inhibition,Unknown,DB01023,DB00398,No
3333,Felodipine,216239,Sorafenib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01023,DB00398,No
2662,Celecoxib,5656,Venlafaxine,CYP3A4,inhibition,Moderate,DB00482,DB00285,No
2662,Celecoxib,4171,Metoprolol,CYP2D6,inhibition,Moderate,DB00482,DB00264,Yes
4583,Ofloxacin,5426,Thalidomide,CYP1A2,inhibition,Moderate,DB01165,DB01041,No
3339,Fenofibrate,3385,5-Fluorouracil,CYP2C9,inhibition,Unknown,DB01039,DB00544,No
4594,Prilosec,5291,Imatinib,CYP3A4,inhibition,Unknown,DB00338,DB00619,No
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",5291,Imatinib,CYP2C9,inhibition,Moderate,DB00222,DB00619,No
3899,Leflunomide,4485,Nifedipine,CYP1A2,inhibition,Unknown,DB01097,DB01115,No
3899,Leflunomide,4485,Nifedipine,CYP2C9,induction,Unknown,DB01097,DB01115,No
60953,Capecitabine,124087,Desloratadine,CYP2C9,inhibition,Unknown,DB01101,DB00967,No
5391,Temazepam,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00231,DB01041,No
2662,Celecoxib,4679,Pantoprazole,CYP2C9,inhibition,Unknown,DB00482,DB00213,No
2662,Celecoxib,4679,Pantoprazole,CYP3A4,induction,Unknown,DB00482,DB00213,No
2267,Azelastine,2662,Celecoxib,CYP2D6,inhibition,Unknown,DB00972,DB00482,No
2756,Cimetidine,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_induction,Unknown,DB00501,DB00531,No
2756,Cimetidine,2907,Cyclophosphamide,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00501,DB00531,No
2756,Cimetidine,2907,Cyclophosphamide,CYP3A4,induction,Unknown,DB00501,DB00531,No
2756,Cimetidine,2907,Cyclophosphamide,CYP3A4,inhibition,Unknown,DB00501,DB00531,No
2907,Cyclophosphamide,74989,"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",CYP2C9,inhibition,Unknown,DB00531,DB01117,No
2907,Cyclophosphamide,74989,"3-(4-(4-Chlorophenyl)cyclohexyl)-4-hydroxynaphthalene-1,2-dione",CYP2C9,induction,Unknown,DB00531,DB01117,No
2244,Aspirin,3899,Leflunomide,CYP2C9,inhibition,Major,DB00945,DB01097,No
2662,Celecoxib,4449,Nefazodone,CYP3A4,inhibition,Unknown,DB00482,DB01149,No
4168,Metoclopramide,176870,Erlotinib,CYP2D6,inhibition,Unknown,DB01233,DB00530,No
3121,Valproic Acid,5394,Temozolomide,CYP3A4,inhibition,Minor,DB00313,DB00853,Yes
3121,Valproic Acid,5394,Temozolomide,CYP3A4,induction,Minor,DB00313,DB00853,Yes
2662,Celecoxib,3825,Ketoprofen,ABCC4 (MRP4),transporter_inhibition,Moderate,DB00482,DB01009,No
2662,Celecoxib,3825,Ketoprofen,CYP2C9,inhibition,Moderate,DB00482,DB01009,No
2771,Citalopram,4212,Mitoxantrone,CYP3A4,inhibition,Unknown,DB00215,DB01204,No
3657,Hydroxyurea,5291,Imatinib,CYP2D6,inhibition,Moderate,DB01005,DB00619,Yes
2162,Amlodipine,5426,Thalidomide,CYP3A5,induction,Moderate,DB00381,DB01041,No
2162,Amlodipine,5426,Thalidomide,CYP1A2,inhibition,Moderate,DB00381,DB01041,No
3488,Glibenclamide,123631,Gefitinib,ABCB1 (P-gp),transporter_inhibition,Unknown,DB01016,DB00317,No
3488,Glibenclamide,123631,Gefitinib,CYP2C9,inhibition,Unknown,DB01016,DB00317,No
2160,Amitriptyline,5426,Thalidomide,CYP3A5,induction,Moderate,DB00321,DB01041,No
2160,Amitriptyline,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00321,DB01041,No
2907,Cyclophosphamide,3749,Irbesartan,CYP3A4,induction,Unknown,DB00531,DB01029,No
2907,Cyclophosphamide,3749,Irbesartan,CYP3A4,inhibition,Unknown,DB00531,DB01029,No
3899,Leflunomide,5656,Venlafaxine,ABCG2 (BCRP),transporter_induction,Unknown,DB01097,DB00285,No
3899,Leflunomide,5656,Venlafaxine,CYP2C9,inhibition,Unknown,DB01097,DB00285,No
2083,Salbutamol,2187,Anastrozole,CYP3A4,inhibition,Unknown,DB01001,DB01217,No
2771,Citalopram,5426,Thalidomide,CYP2C19,inhibition,Moderate,DB00215,DB01041,No
2907,Cyclophosphamide,5426,Thalidomide,CYP3A5,induction,Major,DB00531,DB01041,Yes
2907,Cyclophosphamide,5426,Thalidomide,CYP2C19,inhibition,Major,DB00531,DB01041,Yes
3385,5-Fluorouracil,60953,Capecitabine,CYP2C9,inhibition,Moderate,DB00544,DB01101,Yes
2907,Cyclophosphamide,3365,Fluconazole,ABCB1 (P-gp),transporter_inhibition,Unknown,DB00531,DB00196,Yes
2907,Cyclophosphamide,3365,Fluconazole,CYP3A4,induction,Unknown,DB00531,DB00196,Yes
2907,Cyclophosphamide,3365,Fluconazole,CYP3A4,inhibition,Unknown,DB00531,DB00196,Yes
4173,Metronidazole,5426,Thalidomide,CYP2C9,inhibition,Moderate,DB00916,DB01041,No
2375,Bicalutamide,3488,Glibenclamide,CYP3A4,inhibition,Unknown,DB01128,DB01016,No
