CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
2187,Anastrozole,60198,Exemestane,CYP19A1,P11511,inhibition,Unknown
1983,Acetaminophen,3902,Letrozole,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,3902,Letrozole,CYP2A6,P11509,inhibition,Unknown
2907,Cyclophosphamide,3016,Diazepam,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3016,Diazepam,CYP3A4,P08684,inhibition,Unknown
3222,1-(2-{[1-(Ethoxycarbonyl)-3-phenylpropyl]amino}propanoyl)proline maleate,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3386,Fluoxetine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3386,Fluoxetine,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2662,Celecoxib,3715,Indomethacin,ABCC4 (MRP4),O15439,transporter_inhibition,Moderate
2662,Celecoxib,3715,Indomethacin,PTGS2,P35354,inhibition,Moderate
4171,Metoprolol,5291,Imatinib,CYP2D6,P10635,inhibition,Moderate
4171,Metoprolol,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2907,Cyclophosphamide,2955,Dapsone,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,2955,Dapsone,CYP2C9,P11712,induction,Unknown
2162,Amlodipine,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2162,Amlodipine,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,CYP2C9,P11712,inhibition,Unknown
2907,Cyclophosphamide,5578,Trimethoprim,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2662,Celecoxib,3365,Fluconazole,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,4943,Propofol,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,4943,Propofol,CYP3A4,P08684,induction,Unknown
2662,Celecoxib,5732,Zolpidem,CYP2D6,P10635,inhibition,Unknown
3902,Letrozole,3957,Loratadine,CYP3A4,P08684,induction,Unknown
3902,Letrozole,3957,Loratadine,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,3957,Loratadine,CYP3A4,P08684,induction,Moderate
2662,Celecoxib,3957,Loratadine,CYP3A4,P08684,inhibition,Moderate
