enzyme,HPO,AE_name,observed,expected,log2FE,p,q
ABCB1 (P-gp),HP:0012410,Pure red cell aplasia,444,340.9,0.38,2.726999789860369e-10,4.582545299047968e-08
ABCB1 (P-gp),HP:0000099,Glomerulonephritis,332,247.2,0.43,1.1756861245585646e-09,1.5889799257755936e-07
ABCB1 (P-gp),HP:0004756,Ventricular tachycardia,1238,1070.1,0.21,3.3571153755450474e-09,3.931894220145942e-07
ABCB1 (P-gp),HP:0010619,Fibroadenoma of the breast,93,53.6,0.8,4.122640369885697e-09,4.5525728656023486e-07
ABCB1 (P-gp),HP:0011705,First degree atrioventricular block,907,769.1,0.24,1.069341000611431e-08,9.84048325562662e-07
ABCB1 (P-gp),HP:0000072,Hydroureter,206,149.3,0.46,1.6123663307529072e-07,1.0932975207649099e-05
ABCB1 (P-gp),HP:0001942,Metabolic acidosis,1382,1228.6,0.17,3.563368018376106e-07,2.1188334447728695e-05
ABCB1 (P-gp),HP:0000876,Oligomenorrhea,102,65.5,0.64,5.386801084289231e-07,3.061762675114394e-05
ABCB1 (P-gp),HP:0004755,Supraventricular tachycardia,1056,925.4,0.19,6.125356987785029e-07,3.3820721082555914e-05
ABCB1 (P-gp),HP:0003201,Rhabdomyolysis,1323,1176.5,0.17,6.545607601415274e-07,3.5531964351424876e-05
ABCB1 (P-gp),HP:0002170,Intracranial hemorrhage,547,455.9,0.26,8.485797607979212e-07,4.315474704584165e-05
ABCB1 (P-gp),HP:0004808,Acute myeloid leukemia,478,393.5,0.28,9.362246908977735e-07,4.6391133722049937e-05
ABCB1 (P-gp),HP:0001882,Decreased total leukocyte count,1390,1246.6,0.16,2.0710211478589222e-06,9.417054984087922e-05
ABCB1 (P-gp),HP:0001659,Aortic regurgitation,988,869.4,0.18,2.7304861474778886e-06,0.00012049858524057354
ABCB1 (P-gp),HP:0001876,Pancytopenia,1825,1665.0,0.13,4.145834246877962e-06,0.00016691301421024293
ABCB1 (P-gp),HP:0004749,Atrial flutter,733,635.6,0.21,6.670935486005385e-06,0.0002527761338569687
ABCB1 (P-gp),HP:0001638,Cardiomyopathy,1413,1276.6,0.15,7.38247520768679e-06,0.0002743583334395139
ABCB1 (P-gp),HP:0000495,Recurrent corneal erosions,162,119.6,0.44,9.808156394598576e-06,0.00033547366783295124
ABCB1 (P-gp),HP:0001873,Thrombocytopenia,2414,2243.4,0.11,2.0069742335306507e-05,0.0006410706952558648
ABCB1 (P-gp),HP:0000548,Cone/cone-rod dystrophy,37,19.7,0.91,2.317849439726989e-05,0.000716679046763585
ABCB1 (P-gp),HP:0001371,Flexion contracture,301,245.5,0.29,3.861851634655562e-05,0.0010975041594076286
ABCB1 (P-gp),HP:0002445,Tetraplegia,171,130.3,0.39,4.125765335557925e-05,0.001150444838120689
ABCB1 (P-gp),HP:0001663,Ventricular fibrillation,916,816.6,0.17,4.137434217303383e-05,0.001150444838120689
ABCB1 (P-gp),HP:0004387,Enterocolitis,344,285.2,0.27,4.9170764616849286e-05,0.0013197569808619616
ABCB1 (P-gp),HP:0009726,Renal neoplasm,113,81.1,0.48,5.363234278773199e-05,0.0014006013842877306
ABCB1 (P-gp),HP:0001662,Bradycardia,1886,1744.4,0.11,5.687539916077468e-05,0.0014504319152448062
ABCB1 (P-gp),HP:0000083,Renal insufficiency,2713,2543.0,0.09,5.909364486189042e-05,0.001492790440465402
ABCB1 (P-gp),HP:0009592,Astrocytoma,38,21.2,0.84,6.13857482173817e-05,0.0015351858560900904
ABCB1 (P-gp),HP:0001695,Cardiac arrest,1927,1787.8,0.11,8.835470563706144e-05,0.002076834309999473
ABCB1 (P-gp),HP:0001919,Acute kidney injury,2596,2437.3,0.09,0.00012101267828775834,0.0026096349709666265
ABCB1 (P-gp),HP:0002206,Pulmonary fibrosis,831,743.5,0.16,0.0001422820009683184,0.0029565587835621
ABCB1 (P-gp),HP:0002913,Myoglobinuria,753,670.0,0.17,0.00014454589670477393,0.002972033460738064
ABCB1 (P-gp),HP:0001878,Hemolytic anemia,514,446.2,0.2,0.00015063268497980518,0.0030803985579203547
ABCB1 (P-gp),HP:0006682,Premature ventricular contraction,1033,936.6,0.14,0.0001791444002008597,0.003514685821199608
ABCB1 (P-gp),HP:0010885,Avascular necrosis,1502,1386.7,0.12,0.00021459494944012225,0.004085760983182623
ABCB1 (P-gp),HP:0011704,Sick sinus syndrome,479,416.4,0.2,0.0002823384511652701,0.005028747067989719
ABCB1 (P-gp),HP:0001888,Decreased total lymphocyte count,421,363.4,0.21,0.0003409924500047168,0.005831574421540842
ABCB1 (P-gp),HP:0001712,Left ventricular hypertrophy,383,328.8,0.22,0.0003961687233084063,0.006477004114264194
ABCB1 (P-gp),HP:0011713,Left bundle branch block,833,752.3,0.15,0.0004327708930144845,0.006969414589587427
ABCB1 (P-gp),HP:0001635,Congestive heart failure,3794,3621.8,0.07,0.0005237977162974684,0.008130434431685603
ABCB1 (P-gp),HP:0001947,Renal tubular acidosis,184,148.1,0.31,0.0005275558848314782,0.008156013979494654
ABCB1 (P-gp),HP:0000662,Nyctalopia,106,79.4,0.42,0.0005333441563935209,0.00821265005761338
ABCB1 (P-gp),HP:0001709,Third degree atrioventricular block,562,497.5,0.18,0.0005607565966867591,0.008566498996815509
ABCB1 (P-gp),HP:0000639,Nystagmus,473,414.2,0.19,0.0005811177943456244,0.008807922647630737
ABCB1 (P-gp),HP:0004313,Decreased circulating immunoglobulin concentration,194,158.1,0.3,0.0007464574746424279,0.010752214961837307
ABCB1 (P-gp),HP:0011706,Second degree atrioventricular block,345,296.9,0.22,0.0008684985149344462,0.011903357305750477
ABCB1 (P-gp),HP:0000486,Strabismus,387,335.8,0.2,0.0008594184415121564,0.011903357305750477
ABCB1 (P-gp),HP:0001953,Diabetic ketoacidosis,680,611.5,0.15,0.0008753863138181309,0.011955364321226417
ABCB1 (P-gp),HP:0002045,Hypothermia,878,800.7,0.13,0.0009908779172799241,0.013247900536976902
ABCB1 (P-gp),HP:0030016,Dyspareunia,165,133.9,0.3,0.0014694863103453702,0.01780682139421811
ABCB1 (P-gp),HP:0002149,Hyperuricemia,561,501.9,0.16,0.001466009651136072,0.01780682139421811
ABCB1 (P-gp),HP:0011675,Arrhythmia,1870,1764.2,0.08,0.002034224532154674,0.02339963635945778
ABCB1 (P-gp),HP:0030078,Lung adenocarcinoma,155,125.9,0.3,0.0020447800597599665,0.023451260922766382
ABCB1 (P-gp),HP:0001399,Hepatic failure,1315,1228.4,0.1,0.0024760448835719983,0.027264710755002204
ABCB1 (P-gp),HP:0002634,Arteriosclerosis,1207,1125.4,0.1,0.002844048206780524,0.030790605936153296
ABCB1 (P-gp),HP:0002153,Hyperkalemia,1375,1287.8,0.09,0.002855438899511639,0.0308077381514592
ABCB1 (P-gp),HP:0002239,Gastrointestinal hemorrhage,1819,1718.6,0.08,0.0028879681557590874,0.03095830892387982
ABCB1 (P-gp),HP:0100584,Endocarditis,469,418.9,0.16,0.0029035789185607127,0.031000918564191033
ABCB1 (P-gp),HP:0012763,Paroxysmal dyspnea,277,238.9,0.21,0.002914028702902176,0.03102677943999149
