drug,our_enzymes,kegg_enzymes,agree
Fulvestrant,['CYP3A4'],['CYP3A4'],True
Bosentan,"['CYP2C9', 'CYP3A4']","['CYP2C9', 'CYP3A4']",True
Tadalafil,['CYP3A4'],['CYP3A4'],True
Almotriptan,['CYP2D6'],"['CYP2D6', 'CYP3A4']",True
Vinblastine,"['ABCB1 (P-gp)', 'ABCC1', 'ABCC2 (MRP2)', 'CYP2D6', 'CYP3A4']",['CYP3A4'],True
Ezetimibe,"['ABCB1 (P-gp)', 'ABCC2 (MRP2)', 'ABCG2 (BCRP)', 'CYP3A4', 'UGT1A1']","['UGT1A1', 'UGT1A3', 'UGT2B15']",True
Erlotinib,"['ABCB1 (P-gp)', 'ABCG2 (BCRP)', 'CYP1A2', 'CYP2C8', 'CYP2D6', 'CYP3A4', 'UGT1A1']","['CYP1A2', 'CYP3A4']",True
Phenytoin,"['ABCB1 (P-gp)', 'ABCC2 (MRP2)', 'CYP2C8', 'CYP2C9', 'CYP3A4']",['CYP2C19'],False
Alfuzosin,['CYP3A4'],['CYP3A4'],True
Alprazolam,"['CYP2C9', 'CYP3A4', 'CYP3A5']",['CYP3A'],False
Theophylline,"['CYP2C9', 'CYP2D6']",['CYP1A2'],False
Amitriptyline,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2C19', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']","['CYP2C19', 'CYP2D6', 'CYP3A4']",True
Amlodipine,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2A6', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Verapamil,"['ABCB1 (P-gp)', 'ABCC1', 'ABCC2 (MRP2)', 'ABCC3', 'ABCC4 (MRP4)', 'ABCG2 (BCRP)', 'CYP1A2', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Carbamazepine,"['ABCB1 (P-gp)', 'ABCC2 (MRP2)', 'CYP1A2', 'CYP2C19', 'CYP2C9', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Carisoprodol,['CYP2C19'],['CYP2C19'],True
Carvedilol,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2C9', 'CYP2D6', 'CYP3A4']","['CYP1A2', 'CYP2C9', 'CYP2D6', 'CYP2E1', 'CYP3A4']",True
Celecoxib,"['ABCC4 (MRP4)', 'CYP2C9', 'CYP2D6', 'CYP3A4']",['CYP2C9'],True
Chloroquine,"['ABCB1 (P-gp)', 'CYP2D6', 'CYP3A4']","['CYP2C8', 'CYP3A4']",True
Citalopram,"['CYP2C19', 'CYP2D6', 'CYP3A4']","['CYP2D6', 'CYP3A4']",True
Clomipramine,"['ABCB1 (P-gp)', 'CYP2C19', 'CYP2D6', 'CYP3A4']","['CYP2C19', 'CYP2D6', 'CYP3A4']",True
Cyclophosphamide,"['ABCB1 (P-gp)', 'CYP2A6', 'CYP2B6', 'CYP2C19', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']","['CYP2B6', 'CYP2C8', 'CYP2C9', 'CYP3A4']",True
Dapsone,"['CYP2C19', 'CYP2C9', 'CYP3A4', 'CYP3A5']","['CYP2E1', 'CYP3A4']",True
Diazepam,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP3A4', 'CYP3A5']","['CYP2C19', 'CYP3A4']",True
Dasatinib,"['ABCB1 (P-gp)', 'ABCG2 (BCRP)', 'CYP1A1', 'CYP1A2', 'CYP3A4']",['CYP3A4'],True
Anzemet,"['CYP2C9', 'CYP2D6', 'CYP3A4']","['CYP2D6', 'CYP3A']",True
Donepezil,"['CYP2C9', 'CYP2D6', 'CYP3A4']",['CYP3A4'],True
Doxepin,"['ABCB1 (P-gp)', 'CYP2C19', 'CYP2C9', 'CYP2D6', 'CYP3A4']","['CYP2C19', 'CYP2C9', 'CYP2D6']",True
Felodipine,"['ABCB1 (P-gp)', 'CYP2C9', 'CYP2D6', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Fentanyl,"['ABCB1 (P-gp)', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Fluoxetine,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2C19', 'CYP2C9', 'CYP3A4', 'CYP3A5']","['CYP2C9', 'CYP2D6']",True
Flurbiprofen,"['ABCC4 (MRP4)', 'SLCO1B1 (OATP1B1)']",['CYP2C9'],False
Glibenclamide,"['ABCB1 (P-gp)', 'ABCC1', 'ABCC2 (MRP2)', 'ABCC3', 'ABCG2 (BCRP)', 'CYP2C19', 'CYP2C9', 'CYP3A4']","['CYP2C9', 'CYP3A4']",True
Haloperidol,"['ABCB1 (P-gp)', 'CYP2C9', 'CYP2D6', 'CYP3A4']","['CYP2D6', 'CYP3A4']",True
Hydroxychloroquine,['CYP2D6'],"['CYP2C8', 'CYP3A4']",False
Lidocaine,"['ABCB1 (P-gp)', 'CYP1A2', 'CYP2A6', 'CYP2C9', 'CYP3A4', 'CYP3A5']","['CYP1A2', 'CYP3A4']",True
Ifosfamide,"['CYP2B6', 'CYP2C19', 'CYP2C9', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Irbesartan,"['CYP1A2', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4']",['CYP2C9'],True
Itrizole,"['ABCB1 (P-gp)', 'CYP1A1', 'CYP2B6', 'CYP2D6', 'CYP2E1', 'CYP3A4', 'CYP3A5']",['CYP3A4'],True
Lamotrigine,['ABCB1 (P-gp)'],['UGT1A4'],False
Lansoprazole,"['ABCB1 (P-gp)', 'ABCG2 (BCRP)', 'CYP1A2', 'CYP2C19', 'CYP2C8', 'CYP2C9', 'CYP2D6', 'CYP3A4']","['CYP2C19', 'CYP3A4']",True
Leflunomide,"['ABCG2 (BCRP)', 'CYP1A2', 'CYP2C9']",['CYP3A4'],False
Letrozole,"['CYP19A1', 'CYP2A6', 'CYP3A4']","['CYP2A6', 'CYP3A4']",True
